"","age","sex","scen","meets_base","meets_base_se","meets_scen","meets_scen_se","max_walk","max_cycle","purpose","title1","scen_order"
"1","all","all","commuting_0_10","53.5%",0.0078,"57.79%",0.0078,0,10,"commuting","10km = cycling",5
"2","all","all","commuting_0_2","53.5%",0.0078,"54.02%",0.0078,0,2,"commuting","2km = cycling",3
"3","all","all","commuting_0_5","53.5%",0.0078,"55.65%",0.0078,0,5,"commuting","5km = cycling",4
"4","all","all","commuting_1_0","53.5%",0.0078,"53.57%",0.0078,1,0,"commuting","1km = walking",1
"5","all","all","commuting_1_10","53.5%",0.0078,"57.79%",0.0078,1,10,"commuting","1km = walking ; 1 km < cycling = 10 km",8
"6","all","all","commuting_1_2","53.5%",0.0078,"54.02%",0.0078,1,2,"commuting","1km = walking ; 1 km < cycling = 2 km",6
"7","all","all","commuting_1_5","53.5%",0.0078,"55.65%",0.0078,1,5,"commuting","1km = walking ; 1 km < cycling = 5 km",7
"8","all","all","commuting_2_0","53.5%",0.0078,"54.12%",0.0078,2,0,"commuting","2km = walking",2
"9","all","all","commuting_2_10","53.5%",0.0078,"57.83%",0.0078,2,10,"commuting","2km = walking ; 2 km < cycling = 10 km",10
"10","all","all","commuting_2_5","53.5%",0.0078,"55.72%",0.0078,2,5,"commuting","2km = walking ; 2 km < cycling = 5 km",9
